epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.181,1.93847,8.86899,2.25142,0.01071,0.25,0.02011,0.00932,1.49528,7.67868,2.24731,0.00026,0.00026,0.00026
2,213.761,1.89747,3.60305,2.28409,0.32525,0.5,0.32069,0.11726,1.77605,8.98394,2.72333,0.00048654,0.00048654,0.00048654
3,310.97,1.89029,3.06366,2.29372,0.08712,0.25,0.0535,0.01734,1.92774,17.2482,2.77723,0.00065764,0.00065764,0.00065764
4,409.725,1.98572,2.76587,2.33066,0.17806,0.25,0.11894,0.06798,1.99615,13.3737,3.33491,0.0007733,0.0007733,0.0007733
5,1540.42,2.12345,2.84731,2.39363,0.42589,0.25,0.16394,0.06307,2.29093,10.5347,3.34823,0.00083352,0.00083352,0.00083352
6,1644.75,2.09148,2.56426,2.34351,0.48866,0.25,0.345,0.07872,2.27854,6.54235,2.63927,0.0008383,0.0008383,0.0008383
7,1749.13,2.20201,2.71668,2.36283,0.02452,0.25,0.01558,0.00983,2.36609,8.34612,3.47199,0.00078764,0.00078764,0.00078764
8,1849.18,2.01389,2.41891,2.27112,0.33094,0.25,0.14547,0.06893,2.10725,5.06516,2.64889,0.000614,0.000614,0.000614
9,1955.78,1.96583,2.38855,2.25338,0.83235,0.25,0.29516,0.18224,2.20814,2.58454,2.45886,0.000416,0.000416,0.000416
10,2056.8,1.85299,2.3094,2.15365,0.9354,0.5,0.56581,0.25136,1.84466,2.3738,1.94531,0.000218,0.000218,0.000218
